### US clearance drills ###
measurements in inches

screw | close fit  | free fit    
---------------------------------
0     | .0635      | .0700       
1     | .0760      | .0810       
2     | .0890      | .0960       
3     | .1040      | .1100       
4     | .1160      | .1285       
5     | .1285      | .1360       
6     | .1440      | .1495       
8     | .1695      | .1770       
10    | .1960      | .2010       
12    | .2210      | .2280       
1/4   | .2570      | .2660       
5/16  | .3230      | .3320       
3/8   | .3860      | .2970       
7/16  | .4531      | .4687       
1/2   | .5156      | .5312       
9/16  | .5781      | .5938       
5/8   | .6406      | .6562       
11/16 | .7031      | .7188       
3/4   | .7656      | .7812       
13/16 | .8281      | .8438       
7/8   | .8906      | .9062       
15/16 | .9531      | .9688       
1     | 1.0156     | 1.0313      
